,goalvalues,timestamps
0,9231.449461753033,0.0
1,9086.80302349845,0.052873849868774414
2,8879.163853969072,0.972322940826416
3,8513.949061214324,1.6668829917907715
4,8273.625144773167,2.5161819458007812
5,8023.509971653857,3.5515568256378174
6,7878.799010627739,4.455650091171265
7,7801.236773400979,5.6410088539123535
8,7711.65546532263,7.041705846786499
9,7567.548893272124,8.227483987808228
10,7511.436189403361,9.109673976898193
11,7380.23837980731,10.193428039550781
12,7288.443268147912,11.556021928787231
13,7229.8039353698805,12.751787900924683
14,7067.08426326534,14.021608829498291
15,6908.210963448026,15.479282855987549
16,6716.812766720421,16.881224870681763
17,6622.8843141559155,19.497397899627686
18,6434.240356049482,21.528341054916382
19,6347.050616009892,23.851855754852295
20,6018.541162325029,26.545449018478394
21,5874.928908389844,28.63995909690857
22,5545.622023979198,31.465856075286865
23,5453.84758173885,33.56585693359375
24,5271.121716168662,36.382155895233154
25,5168.5994492905265,40.021121978759766
26,5045.055484995351,43.931944847106934
27,4999.836689128391,44.70315098762512
28,4893.263240249598,46.219605922698975
29,4794.456351008408,46.32478594779968
30,4738.854851699671,54.13085389137268
31,4615.008597439202,59.611687898635864
32,4575.6267139029915,61.51504302024841
33,4550.345190247255,65.62956213951111
34,4530.274846595794,76.02673292160034
35,4446.801258144758,78.33046889305115
36,4401.052300883417,82.32789301872253
37,4401.031631464368,86.64220786094666
38,4357.888198488468,95.76154708862305
39,4314.882622071804,101.15732192993164
40,4224.484983538987,103.41754007339478
41,4128.275397400754,105.79883003234863
42,4060.4880075811343,113.39218091964722
43,4033.5631104155364,118.4306948184967
44,3996.6055688379674,120.05278897285461
45,3957.4850057696567,130.82394194602966
46,3956.6115697428304,135.6981270313263
47,3950.700958539721,140.39592599868774
48,3933.8897278919503,145.9228389263153
49,3890.465366122542,151.29837584495544
50,3851.840047598331,157.75680589675903
