,goalvalues,timestamps
0,9123.027033404804,0.0
1,8716.285215665863,0.008134126663208008
2,8584.258783144338,1.1366260051727295
3,8279.54505303572,5.19161319732666
4,8127.310132116545,5.80591607093811
5,7944.899730752448,7.610611200332642
6,7718.780936220799,8.186438083648682
7,7597.407640549391,8.612539052963257
8,7376.508530555075,11.028759956359863
9,7178.837663115693,11.280020236968994
10,7041.991914615424,17.288026094436646
11,6860.668131747545,17.602725982666016
12,6739.991554705681,18.868402004241943
13,6627.020819300269,26.104919910430908
14,6575.63850064273,28.580535888671875
15,6462.667765237318,28.621387004852295
16,6408.683183060173,31.335147857666016
17,6349.402681253261,34.05167889595032
18,6244.266052476607,38.91520094871521
19,6131.295317071199,48.723982095718384
20,6123.150358695233,52.11679816246033
21,6017.718863077496,59.63506102561951
22,5870.57652711015,63.220237016677856
23,5749.859792119294,70.38905596733093
24,5668.212581597376,75.11619019508362
25,5608.93831011254,78.86449909210205
26,5592.2642191054565,82.7743809223175
27,5527.112207197606,91.53084301948547
28,5494.1555995779345,91.97968912124634
29,5481.96739364618,94.97009921073914
30,5435.976542369983,101.84398984909058
31,5377.957152486189,111.37472987174988
32,5361.593152259409,117.33070087432861
33,5315.60230098321,119.51811695098877
34,5278.662873891575,128.18255805969238
35,5231.126149308271,139.92727494239807
36,5127.431070823757,145.9243130683899
37,5127.431070823757,152.1360080242157
38,5052.504543962816,158.2729790210724
39,4912.938240699274,160.950266122818
40,4865.88459114547,165.8533217906952
41,4837.731626867906,174.87088203430176
42,4782.91293720499,184.90691804885864
43,4754.759972927426,186.93665409088135
44,4735.638933023312,198.41956186294556
45,4727.726226806319,204.1902949810028
46,4727.726226806315,207.45424604415894
47,4569.966287150708,219.28247499465942
48,4491.558892737334,222.31603002548218
49,4491.55889273733,229.67948508262634
50,4491.55889273733,237.4024419784546
51,4491.55889273733,244.79824805259705
52,4491.55889273733,252.187735080719
53,4491.55889273733,259.63389110565186
54,4491.55889273733,267.03130197525024
55,4491.55889273733,274.41368794441223
56,4491.55889273733,281.91833686828613
57,4491.55889273733,289.2482690811157
58,4491.55889273733,296.65521907806396
59,4491.55889273733,304.14519810676575
60,4491.55889273733,311.5357520580292
61,4491.55889273733,318.8979070186615
62,4491.55889273733,326.2478439807892
63,4491.55889273733,333.67742109298706
64,4491.55889273733,341.10363507270813
65,4491.55889273733,348.52027201652527
66,4491.55889273733,355.8898129463196
67,4491.55889273733,363.29910111427307
68,4491.55889273733,370.6533169746399
69,4491.55889273733,377.9722349643707
70,4491.55889273733,385.39462208747864
71,4491.55889273733,392.89791202545166
72,4491.55889273733,400.2517092227936
73,4491.55889273733,407.7037010192871
74,4491.55889273733,415.1210868358612
75,4491.55889273733,422.6928758621216
76,4491.55889273733,429.9949758052826
77,4491.55889273733,437.3972508907318
78,4491.55889273733,444.80678486824036
79,4491.55889273733,452.2127799987793
80,4491.55889273733,459.5548269748688
81,4491.55889273733,466.93783497810364
82,4491.55889273733,474.27803206443787
83,4491.55889273733,481.61227202415466
84,4491.55889273733,488.98271894454956
85,4491.55889273733,496.37363600730896
86,4491.55889273733,503.72768807411194
87,4491.55889273733,511.0749318599701
88,4491.55889273733,518.5980048179626
89,4491.55889273733,526.0020880699158
90,4491.55889273733,533.3618249893188
91,4491.55889273733,540.7366380691528
92,4491.55889273733,548.0998780727386
93,4491.55889273733,555.5299980640411
94,4491.55889273733,562.8938019275665
95,4491.55889273733,570.275472164154
96,4491.55889273733,577.6368420124054
97,4491.55889273733,584.9535200595856
98,4491.55889273733,592.3692240715027
99,4491.55889273733,599.7156729698181
100,4491.55889273733,607.0822591781616
